Dataset,Number,Pattern,Variation
DS1,1 2 3 4 5,CURVES,density
DS1,6 7 8 9 10,GRATINGS,density
DS1,47 48 3 49 50,CURVES,contrast
DS1,35 36 8 37 38,GRATINGS,contrast
DS1,11 12 13 14 15,NOISE BARS,density
DS1,16 17 18 19 20 21,WAVES,density
DS1,8 22 23 24,GRATINGS,orientation
DS1,13 25 26 27,NOISE BARS,orientation
DS1,20 28 29 30,WAVES,orientation
DS1,31 32 33 34,GRATINGS,cross
DS1,39 40 13 41 42,NOISE BARS,contrast
DS1,43 44 18 45 46,WAVES,contrast
DS2,1 2 3 4 5,CURVES,density
DS2,6 7 8 9 10,GRATINGS,density
DS2,45 46 2 47 48,CURVES,contrast
DS2,33 34 7 35 36,GRATINGS,contrast
DS2,11 12 13 14 15,NOISE BARS,density
DS2,16 17 18 19,WAVES,density
DS2,8 20 21 22,GRATINGS,orientation
DS2,13 23 24 25,NOISE BARS,orientation
DS2,18 26 27 28,WAVES,orientation
DS2,29 30 31 32,GRATINGS,cross
DS2,37 38 13 39 40,NOISE BARS,contrast
DS2,41 42 18 43 44,WAVES,contrast
"DS3, DS4",39 38 37 36,CURVES,density
"DS3, DS4",35 34 33 32 31,GRATINGS,density
"DS3, DS4",21 22 23 24 25 26 27 28 29 30,CURVES,contrast
"DS3, DS4",9 10 11 12,GRATINGS,contrast
"DS3, DS4",1 2 3 4 5 6 7 8,GRATINGS,orientation
"DS3, DS4",13 14 15 16,PLAID,contrast
"DS3, DS4",17 18 19 20,CIRCULAR,contrast